Marka;Model;Yıl;Kilometre;Kasa_tipi;Motor_gücü;Çekiş;Renk;Fiyat
Citroen;C4 SUV;2024;6.001;Crossover;132;Önden Çekiş;Kırmızı;1.340.000
Chery;Tiggo 8 Pro;2024;12.600;Crossover;185;Önden Çekiş;Siyah;1.525.000
Toyota;C-HR;2018;43.000;Crossover;98;Önden Çekiş;Beyaz;1.370.000
Citroen;C5 Aircross;2020;133.000;Crossover;130;Önden Çekiş;Gri (metalik);1.190.000
Ford;Kuga;2020;86.000;Crossover;120;Önden Çekiş;Mavi;1.570.000
Opel;Mokka;2015;125.000;Crossover;136;Önden Çekiş;Beyaz;900.000
Seat;Arona;2021;52.800;Crossover;110;Önden Çekiş;Kırmızı;1.110.000
Peugeot;2008;2020;125.000;Crossover;132;Önden Çekiş;Turuncu;1.250.000
Dacia;Duster;2018;216.000;Crossover;115;Önden Çekiş;Gri;720.000
Opel;Crossland;2024;6.000;Crossover;130;Önden Çekiş;Gri (Gümüş);1.190.000
Peugeot;2008;2022;58.000;Crossover;132;Önden Çekiş;Gri (titanyum);1.435.000
Volkswagen;Taigo;2023;7.500;Crossover;110;Önden Çekiş;Siyah;1.450.000
Seat;Arona;2023;8.250;Crossover;95;Önden Çekiş;Kırmızı;1.165.000
Peugeot;2008;2022;10.500;Crossover;132;Önden Çekiş;Gri (metalik);1.470.000
Chery;Tiggo 7 Pro;2024;6.001;Crossover;185;Önden Çekiş;Beyaz;1.525.000
Skoda;Kamiq;2024;9.250;Crossover;110;Önden Çekiş;Siyah;1.460.000
Volkswagen;Taigo;2023;6.001;Crossover;110;Önden Çekiş;Beyaz;1.580.000
Land Rover;Range Rover Evoque;2013;260.000;Crossover;190;4WD (Sürekli);Beyaz;1.850.000
Hyundai;Tucson;2022;23.700;Crossover;180;Önden Çekiş;Mavi (metalik);1.834.000
Peugeot;3008;2023;6.001;Crossover;132;Önden Çekiş;Siyah;1.775.000
Cupra;Formentor;2023;32.200;Crossover;150;Önden Çekiş;Füme;1.925.000
BMW;X1;2010;188.000;Crossover;177;4WD (Sürekli);Siyah;1.095.000
Chery;Tiggo 8 Pro;2024;6.350;Crossover;185;Önden Çekiş;Beyaz;1.875.000
Toyota;C-HR;2022;27.000;Crossover;98;Önden Çekiş;Gri;1.430.000
